@home;DTBE9ZHVEFSHKRGG;@home Annulus Solid Wood Dressing Table;Furniture >> Bedroom Furniture >> Dressing Tables >> @home Annulus Solid Wood Dressing Table (Finish ...;22900;17745;Specifications of @home Annulus Solid Wood Dressing Table (Finish Color - Walnut) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Dressing Table General Brand @home Suitable For Bedroom Storage Included Yes Delivery Condition Knock Down Model Number FLDRANNULUSTBHMWLT Model Series Name Annulus Style Vintage & Imperial Stool Included No Bush Included No Care Instructions Avoid Direct Exposure to Sunlight Avoid Sharp Edges Finish Type Polished Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Asthetic Defects Service Type Customer Need To Call Service Center Warranty Summary 1 Year Warranty Not Covered in Warranty Physical Damage Water Damage Dimensions Mirror Width 508 mm Weight 60 kg Mirror Height 1359 mm Height 1805 mm Width 502 mm Depth 405 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Color Brown Primary Material Solid Wood Finish Color Walnut Primary Material Subtype Rosewood (Sheesham)
@home;VASEHU9W3N9RDPGZ;@home Glass Vase;Home Decor & Festive Needs >> Flowers, Plants & Vases >> Flower Vase >> @home Flower Vase >> @home Glass Vase (18 inch, Grey);2299;2173;Specifications of @home Glass Vase (18 inch, Grey) General Brand @home Suitable For Table Model Number HGFVSCGSTGRY00094 Type Garden Decor Material Glass Color Grey Dimensions Height 18 inch Width 18 inch Depth 42 inch In the Box Sales Package 1 Vase Pack of 1
@home;VASEJDBZDNPPUFEK;@home Enchanted Cushion Ceramic Vase;Home Decor & Festive Needs >> Flowers, Plants & Vases >> Flower Vase >> @home Flower Vase >> @home Enchanted Cushion Ceramic Vase (8.646 inch...;1299;1170;Key Features of @home Enchanted Cushion Ceramic Vase Material : CERAMIC Color :  GOLD has to be kept on Table decorative purpose,@home Enchanted Cushion Ceramic Vase (8.646 inch, Gold) Price: Rs. 1,170 VASE ENCH FRST CUSHION GLD 23X22CM,Specifications of @home Enchanted Cushion Ceramic Vase (8.646 inch, Gold) General Brand @home Suitable For Table Model Number HGFVSIMSTGLD00134 Type Vases Material Ceramic Model Name Enchanted Cushion Color Gold Dimensions Other Dimensions 23.5X12.5X22 (LXBXH) in cms Height 8.646 inch Width 9.2355 inch Depth 4.9125000000000005 inch Body & Design Features Shape Tumblers In the Box Sales Package 1 Vase Pack of 1
@home;VASEJDBZMRZTZVS7;@home Earthy Wine Net Ceramic Vase;Home Decor & Festive Needs >> Flowers, Plants & Vases >> Flower Vase >> @home Flower Vase >> @home Earthy Wine Net Ceramic Vase (9.8250000000...;1499;1350;Key Features of @home Earthy Wine Net Ceramic Vase Material : CERAMIC Color : MAROON has to be kept on Table decorative purpose,@home Earthy Wine Net Ceramic Vase (9.825000000000001 inch, Pink) Price: Rs. 1,350 VASE EARTHY WINE NET MRN H 25CM,Specifications of @home Earthy Wine Net Ceramic Vase (9.825000000000001 inch, Pink) General Brand @home Suitable For Table Model Number HGFVSIMSTMRN00158 Type Vases Material Ceramic Model Name Earthy Wine Net Color Pink Dimensions Other Dimensions 18X18X25 (LXBXH) in cms Height 9.825000000000001 inch Width 7.074 inch Depth 7.074 inch Body & Design Features Shape Tumblers In the Box Sales Package 1 Vase Pack of 1
1OAK;SHTEHUY4DGTGAYBS;1OAK Women's Floral Print Casual Shirt;Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Floral Print Casual Shirt;899;675;Key Features of 1OAK Women's Floral Print Casual Shirt Fit: Regular Fabric: Poly Crepe Suitable For: Western Wear Sleeve: Sleeveless,Specifications of 1OAK Women's Floral Print Casual Shirt General Details Pattern Floral Print Ideal For Women's Occasion Casual Shirt Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Brand Fit Regular Fabric Poly Crepe Fit Regular Additional Details Style Code PI7IVORYMULTI
1OAK;SHTEHUY55ARGYFJS;1OAK Women's Polka Print Casual Shirt;Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Polka Print Casual Shirt;799;599;Key Features of 1OAK Women's Polka Print Casual Shirt Fit: Regular Fabric: Cotton Suitable For: Western Wear Sleeve: Full Sleeve,Specifications of 1OAK Women's Polka Print Casual Shirt General Details Pattern Polka Print Occasion Casual Ideal For Women's Shirt Details Sleeve Full Sleeve Number of Contents in Sales Package Pack of 1 Brand Fit Regular Fabric Cotton Fit Regular Additional Details Style Code PI17TURQMULTI
3a Autocare;CRTE8389HNP2UHPT;3a Autocare 3D MAT Car Mat Suzuki New Swift;Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats;2100;1350;Buy 3a Autocare 3D MAT Car Mat Suzuki New Swift for Rs.1350 online. 3a Autocare 3D MAT Car Mat Suzuki New Swift at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
3a Autocare;CRTE8389ZZJS6W9E;3a Autocare Rubber Mat Car Mat Suzuki New Swift;Automotive >> Car Accessories >> Car Interior >> Car Mats;1259;474;Buy 3a Autocare Rubber Mat Car Mat Suzuki New Swift for Rs.474 online. 3a Autocare Rubber Mat Car Mat Suzuki New Swift at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
3a AUTOCARE;CRTEA7HA7X3CW7YQ;3a AUTOCARE Car Mat Maruti Swift Dzire;Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats;2250;1490;Buy 3a AUTOCARE Car Mat Maruti Swift Dzire for Rs.1490 online. 3a AUTOCARE Car Mat Maruti Swift Dzire at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
3a AUTOCARE;CRTEA7HAATHHK6EA;3a AUTOCARE Car Mat Mahindra Scorpio;Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats;3500;2750;Buy 3a AUTOCARE Car Mat Mahindra Scorpio for Rs.2750 online. 3a AUTOCARE Car Mat Mahindra Scorpio at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
